firstName,lastName,pos,college,birthDate,birthCity,birthState,hsCity,hsState,race,height,weight
Zaid,Abdul-Aziz,C-F,Iowa State,4/7/46,Brooklyn,NY,Brooklyn,NY,B,81,230
John,Abramovic,F,Salem,2/9/19,Etna,PA,Etna,PA,W,75,195
Alex,Acker,G,Pepperdine,1/21/83,Compton,CA,Rialto ,CA,B,77,185
Mark,Acres,F-C,Oral Roberts,11/15/62,Inglewood,CA,Palos Verdes Estates,CA,W,83,220
Alvan,Adams,C-F,Oklahoma,7/19/54,Lawrence,KS,Putnam City,OK,W,81,210
George,Adams,F-G,Gardner-Webb,5/15/49,Kings Mountain,NC,Kings Mountain,NC,B,77,210
Hassan,Adams,G,Arizona,6/20/84,Inglewood,CA,Los Angeles,CA,B,76,220
Michael,Adams,G,Boston College,1/19/63,Hartford,CT,Hartford,CT,B,70,162
Rafael,Addison,F-G,Syracuse,7/22/64,Jersey City,NJ,Jersey City,NJ,B,79,215
Jeff,Adrien,F,Connecticut,2/10/86,Brookline,MA,Brookline,MA,B,79,243
Maurice,Ager,G,Michigan State,2/9/84,Detroit,MI,Detroit,MI,B,77,202
Mark,Aguirre,F-G,DePaul,12/10/59,Chicago,IL,Chicago,IL,B,78,232
Henry,Akin,C-F,Morehead State,7/31/44,Detroit,MI,Troy,MI,W,82,225
Mark,Alarie,F,Duke,12/11/63,Phoenix,AZ,Phoenix,AZ,W,80,217
Cole,Aldrich,C,Kansas,10/31/88,Burnsville,MN,Bloomington,MN,W,83,245
LaMarcus,Aldridge,F,Texas,7/19/85,Dallas,TX,Dallas,TX,B,83,240
Cory,Alexander,G,Virginia,6/22/73,Waynesboro,VA,Mouth of Wilson,VA,B,73,185
Courtney,Alexander,G,Fresno State,4/27/77,Bridgeport,CT,Durham,NC,B,77,205
Gary,Alexander,F,Jacksonville,11/1/69,Jacksonville,FL,Jacksonville,FL,B,79,240
Victor,Alexander,C-F,Iowa State,8/31/69,Detroit,MI,Detroit,MI,B,81,265
Jerome,Allen,G,Pennsylvania,1/28/73,Philadelphia,PA,Merion Station,PA,B,76,184
Lavoy,Allen,F,Temple,2/4/89,Trenton,NJ,Fairless Hills,PA,B,81,225
