Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Mumbai Indians,Chennai Super Kings,by runs,field,India,Mumbai Indians,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,4/18/08,140,1
Delhi Daredevils,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/19/08,33,1
Royal Challengers Bangalore,Kings XI Punjab,by wickets,bat,India,Kings XI Punjab,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/19/08,9,1
Sunrisers Hyderabad,Mumbai Indians,by wickets,bat,India,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Wankhede Stadium,4/20/08,5,1
Chennai Super Kings,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Chennai Super Kings,Kolkata,Eden Gardens,4/20/08,5,1
Kings XI Punjab,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/21/08,6,1
Rajasthan Royals,Royal Challengers Bangalore,by wickets,bat,India,Rajasthan Royals,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/22/08,9,1
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/23/08,6,1
Rajasthan Royals,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4/24/08,3,1
Delhi Daredevils,Sunrisers Hyderabad,by runs,field,India,Sunrisers Hyderabad,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/25/08,66,1
Mumbai Indians,Kings XI Punjab,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,4/26/08,7,1
Kolkatta Knight Riders,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/26/08,9,1
Sunrisers Hyderabad,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Mumbai,Dr DY Patil Sports Academy,4/27/08,10,1
Delhi Daredevils,Royal Challengers Bangalore,by wickets,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/27/08,4,1
Mumbai Indians,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Bangalore,M Chinnaswamy Stadium,4/28/08,13,1
Chennai Super Kings,Sunrisers Hyderabad,by wickets,bat,India,Chennai Super Kings,Sunrisers Hyderabad,Kolkata,Eden Gardens,4/29/08,7,1
Royal Challengers Bangalore,Mumbai Indians,by runs,field,India,Mumbai Indians,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/30/08,10,1
Rajasthan Royals,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/1/08,7,1
Kings XI Punjab,Chennai Super Kings,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/1/08,45,1
Kolkatta Knight Riders,Royal Challengers Bangalore,by wickets,bat,India,Kolkatta Knight Riders,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",5/2/08,8,1
Rajasthan Royals,Mumbai Indians,by wickets,bat,India,Rajasthan Royals,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/25/08,5,1
Delhi Daredevils,Chennai Super Kings,by runs,bat,India,Delhi Daredevils,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/3/08,9,1
Sunrisers Hyderabad,Royal Challengers Bangalore,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,5/4/08,29,1
Kings XI Punjab,Kolkatta Knight Riders,by wickets,bat,India,Kolkatta Knight Riders,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/4/08,8,1
Mumbai Indians,Delhi Daredevils,by wickets,field,India,Delhi Daredevils,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,5/5/08,6,1
Kolkatta Knight Riders,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Chennai,"MA Chidambaram Stadium, Chepauk",5/6/08,7,1
Sunrisers Hyderabad,Kings XI Punjab,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,5/7/08,7,1
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,field,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,5/8/08,4,1
Chennai Super Kings,Mumbai Indians,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/8/08,5,1
Kings XI Punjab,Rajasthan Royals,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/9/08,8,1
Mumbai Indians,Sunrisers Hyderabad,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bangalore,M Chinnaswamy Stadium,5/28/08,9,1
Kolkatta Knight Riders,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",5/10/08,18,1
Rajasthan Royals,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/11/08,23,1
Kings XI Punjab,Royal Challengers Bangalore,by wickets,field,India,Kings XI Punjab,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/11/08,3,1
Delhi Daredevils,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/12/08,9,1
Chennai Super Kings,Royal Challengers Bangalore,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,5/13/08,23,1
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/14/08,9,1
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",5/28/08,41,1
Royal Challengers Bangalore,Rajasthan Royals,by runs,field,India,Rajasthan Royals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,5/15/08,12,1
Sunrisers Hyderabad,Chennai Super Kings,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,5/16/08,8,1
Royal Challengers Bangalore,Delhi Daredevils,by runs,bat,India,Royal Challengers Bangalore,Delhi Daredevils,Delhi,Feroz Shah Kotla,5/17/08,6,1
Kings XI Punjab,Mumbai Indians,by runs,field,India,Mumbai Indians,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,5/17/08,65,1
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",5/18/08,25,1
