firstName,lastName,birthYear,birthMon,birthDay,shootCatch,pos,birthCountry,birthState,birthCity,height,weight
Antti,Aalto,1975,3,4,L,C,Finland,NO,Lappeenranta,73,210
George,Abbott,1911,8,3,L,G,Canada,ON,Synenham,67,153
Reg,Abbott,1930,2,4,L,C,Canada,MB,Winnipeg,71,164
Justin,Abdelkader,1987,2,25,L,L,USA,MI,Muskegon,73,195
Clarence,Abel,1900,5,28,L,D,USA,MI,Sault Ste. Marie,73,225
Gerry,Abel,1944,12,25,L,L,USA,MI,Detroit,74,168
Sid,Abel,1918,2,22,L,C,Canada,SK,Melville,71,170
Dennis,Abgrall,1953,4,24,R,R,Canada,SK,Mooseomin,73,180
Ramzi,Abid,1980,3,24,L,L,Canada,QC,Montreal,74,210
Gene,Achtymichuk,1932,9,7,L,C,Canada,AB,Lamont,71,170
Doug,Acomb,1949,5,15,L,C,Canada,ON,Toronto,71,165
Keith,Acton,1958,4,15,L,C,Canada,ON,Stouffville,68,170
Douglas,Adam,1923,9,7,L,L,Canada,ON,Toronto,71,165
Luke,Adam,1990,6,18,L,L,Canada,NL,St. John's,74,203
Russ,Adam,1961,5,5,L,C,Canada,ON,Windsor,70,185
Bryan,Adams,1977,3,20,L,L,Canada,BC,Fort St. James,72,185
Craig,Adams,1977,4,26,R,R,Brunei Darussalam,GH,Seria,72,200
Greg,Adams,1960,5,31,L,L,Canada,BC,Duncan,73,190
Greg,Adams,1963,8,15,L,L,Canada,BC,Nelson,75,195
Jack,Adams,1895,6,14,R,C,Canada,ON,Fort William,69,175
John,Adams,1920,5,5,L,L,Canada,AB,Calgary,70,163
John,Adams,1946,7,27,L,G,Canada,ON,Port Arthur,72,200
Kevyn,Adams,1974,10,8,R,C,USA,DC,Washington,73,200
Stew,Adams,1904,10,16,L,L,Canada,AB,Calgary,70,165
Rick,Adduono,1955,1,25,L,C,Canada,ON,Fort William,71,182
David,Aebischer,1978,2,7,L,G,Switzerland,HU,Fribourg,73,185
Dmitry,Afanasenkov,1980,5,12,R,L,Russia,NA,Arkhangelsk,74,209
Bruce,Affleck,1954,5,5,L,D,Canada,BC,Penticton,72,205
Maxim,Afinogenov,1979,9,4,L,R,Russia,NH,Moscow,72,191
Fred,Ahern,1952,2,12,R,R,USA,MA,South Boston,72,180
Rudy,Ahlin,1908,12,13,L,L,USA,MN,Eveleth,71,176
Chris,Ahrens,1952,7,31,R,D,USA,CA,San Bernardino,72,185
Don,Aiken,1932,1,1,L,G,USA,MA,Arlington,71,165
Lloyd,Ailsby,1917,5,11,L,D,Canada,SK,Lac Pellitier,71,194
Andy,Aitkenhead,1904,3,6,L,G,Scotland,HG,Glasgow,69,145
Brad,Aitken,1967,10,30,L,L,Canada,ON,Scarborough,74,200
Johnathan,Aitken,1978,5,24,L,D,Canada,AB,Edmonton,76,230
Micah,Aivazoff,1969,5,4,L,C,Canada,BC,Powell River,72,195
Mika,Alatalo,1971,6,11,L,L,Finland,HT,Oulu,72,202
Tommy,Albelin,1964,5,21,L,D,Sweden,RT,Stockholm,74,195
Andrew,Alberts,1981,6,30,L,D,USA,MN,Minneapolis,76,216
Clint,Albright,1926,2,28,L,C,Canada,MB,Winnipeg,74,180
Gary,Aldcorn,1935,3,7,L,L,Canada,SK,Shaunavon,71,170
Keith,Aldridge,1973,7,20,R,D,USA,MI,Detroit,71,185
Art,Alexandre,1909,3,2,R,L,Canada,QC,St. Jean,65,150
Claire,Alexander,1945,6,16,R,D,Canada,ON,Collingwood,73,175
Nikita,Alexeev,1981,12,27,L,R,Russia,UY,Murmansk,77,227
Daniel,Alfredsson,1972,12,11,R,R,Sweden,UI,Grums,71,207
Bobby,Allen,1978,11,14,L,D,USA,MA,Weymouth,73,215
Bryan,Allen,1980,8,21,L,D,Canada,ON,Kingston,76,220
Chris,Allen,1978,5,8,R,D,Canada,ON,Chatham,74,197
George,Allen,1914,7,27,L,L,Canada,NB,Bayfield,70,162
Keith,Allen,1923,8,21,L,D,Canada,SK,Saskatoon,71,190
Peter,Allen,1970,3,6,R,D,Canada,AB,Calgary,74,200
Viv,Allen,1916,9,9,R,R,Canada,NB,Bayfield,66,140
Steve,Alley,1953,12,29,L,L,USA,MN,Anoka,72,185
Dave,Allison,1959,4,14,R,D,Canada,ON,Fort Frances,73,200
Jason,Allison,1975,5,29,R,C,Canada,ON,North York,75,215
Jamie,Allison,1975,5,13,L,D,Canada,ON,Lindsay,73,210
Mike,Allison,1961,3,28,R,L,Canada,ON,Ft. Frances,72,200
Ray,Allison,1959,3,4,R,R,Canada,BC,Cranbrook,70,195
Bill,Allum,1916,10,9,L,D,Canada,MB,Winnipeg,71,194
Red,Almas,1924,4,26,R,G,Canada,SK,Saskatoon,69,160
Cody,Almond,1989,7,24,L,C,Canada,AB,Calgary,74,199
Karl,Alzner,1988,9,24,L,D,Canada,BC,Burnaby,74,206
Dave,Amadio,1939,4,23,R,D,Canada,NS,Glace Bay,73,207
Peter,Ambroziak,1971,9,15,L,L,Canada,ON,Kanata,72,206
