race_id,date,venue,race_no,surface,distance,going,horse_ratings,prize,race_class,sec_time,win_combination
0,6/2/97,ST,1,0,1400,GOOD TO FIRM,40-15,485000,5,13.53,8
1,6/2/97,ST,2,0,1200,GOOD TO FIRM,40-15,485000,5,24.05,5
2,6/2/97,ST,3,0,1400,GOOD TO FIRM,60-40,625000,4,13.77,11
3,6/2/97,ST,4,0,1200,GOOD TO FIRM,120-95,1750000,1,24.33,5
4,6/2/97,ST,5,0,1600,GOOD TO FIRM,60-40,625000,4,25.45,2
5,6/2/97,ST,6,0,1200,GOOD TO FIRM,60-40,625000,4,23.47,9
10,6/4/97,HV,1,0,1650,GOOD TO FIRM,40-15,485000,5,27.53,2
11,6/4/97,HV,2,0,1650,GOOD TO FIRM,60-40,625000,4,27.67,2
12,6/4/97,HV,3,0,1200,GOOD TO FIRM,60-40,625000,4,23.92,1
13,6/4/97,HV,4,0,1000,GOOD TO FIRM,60-40,625000,4,12.8,1
25,6/8/97,ST,8,1,1200,GOOD,80-60,850000,3,23.78,9
26,6/8/97,ST,9,0,1400,GOOD TO FIRM,115-90,1750000,1,13.52,3
27,6/8/97,ST,10,0,1400,GOOD TO FIRM,85-60,850000,3,13.75,5
31,6/11/97,HV,4,0,1650,GOOD TO YIELDING,40-15,485000,5,27.88,3
32,6/11/97,HV,5,0,1650,GOOD TO YIELDING,65-40,625000,4,27.64,9
33,6/11/97,HV,6,0,1800,GOOD,80-60,850000,3,13.91,10
34,6/11/97,HV,7,0,1200,GOOD,80-60,850000,3,24.16,5
35,6/11/97,HV,8,0,1650,GOOD,95-75,1150000,2,27.43,10
36,6/15/97,ST,1,0,1200,GOOD TO FIRM,60-40,625000,4,23.75,10
37,6/15/97,ST,2,0,1600,GOOD TO FIRM,40-15,485000,5,24.5,12
38,6/15/97,ST,3,0,1200,GOOD TO FIRM,60-40,625000,4,23.7,3
39,6/15/97,ST,4,0,1400,GOOD TO FIRM,40-15,485000,5,13.81,4
40,6/15/97,ST,5,0,1400,GOOD TO FIRM,60-40,625000,4,13.72,2
51,6/18/97,ST,6,0,1000,GOOD TO FIRM,80-60,850000,3,13.62,8
52,6/18/97,ST,7,0,1400,GOOD TO FIRM,60-40,625000,4,13.62,11
54,6/18/97,ST,9,0,1400,GOOD TO FIRM,80-60,850000,3,14.09,9
55,6/18/97,ST,10,0,1400,GOOD TO FIRM,100-80,1150000,2,14,1
56,6/22/97,ST,1,0,1600,GOOD TO YIELDING,80-60,850000,3,24.77,7
57,6/22/97,ST,2,1,1650,WET SLOW,65-40,625000,4,28.73,4
58,6/22/97,ST,3,0,1800,GOOD TO YIELDING,100-80,1150000,2,14.06,7
59,6/22/97,ST,4,0,1800,GOOD TO YIELDING,40-10,485000,5,13.78,12
60,6/22/97,ST,5,1,1200,WET SLOW,60-40,625000,4,24.23,11
61,6/22/97,ST,6,1,1200,WET SLOW,100-80,1150000,2,23.64,12
62,6/22/97,ST,7,0,1400,GOOD TO YIELDING,60-40,625000,4,13.86,1
64,6/22/97,ST,9,1,1200,WET SLOW,80-60,850000,3,23.54,6
65,6/22/97,ST,10,0,1400,GOOD TO YIELDING,80-60,850000,3,13.8,6
66,6/25/97,HV,1,0,1650,GOOD,40-10,485000,5,28,1
67,6/25/97,HV,2,0,1800,GOOD,60-40,625000,4,13.78,5
74,6/29/97,ST,1,0,1200,GOOD TO FIRM,40-15,485000,5,24.55,10
75,6/29/97,ST,2,0,1400,GOOD TO FIRM,40-15,485000,5,13.58,7
76,6/29/97,ST,3,0,1200,GOOD TO FIRM,60-40,625000,4,24.41,10
77,6/29/97,ST,4,0,1200,GOOD TO FIRM,60-40,625000,4,23.96,3
78,6/29/97,ST,5,0,1400,GOOD TO FIRM,60-40,625000,4,13.69,6
91,7/2/97,HV,7,0,1200,GOOD,80-60,850000,3,24.11,1
92,7/2/97,HV,8,0,1800,GOOD,80-60,850000,3,13.73,9
93,7/6/97,HV,1,0,2200,GOOD,60-40,625000,4,14.61,10
94,7/6/97,HV,2,0,1650,GOOD,40-15,485000,5,28,10
118,7/16/97,ST,4,1,1200,GOOD,80-60,850000,3,23.5,9
119,7/16/97,ST,5,1,1650,GOOD,40-10,485000,5,28.78,1
120,7/16/97,ST,6,1,1650,GOOD,60-40,625000,4,28.61,5
121,7/16/97,ST,7,1,1650,GOOD,100-80,1150000,2,28.34,13
122,7/16/97,ST,8,1,1650,GOOD,80-60,850000,3,28.09,12
349,10/19/97,ST,1,0,1400,GOOD,60-40,625000,4,13.83,4
350,10/19/97,ST,2,0,1200,GOOD,60-40,625000,4,23.78,2
351,10/19/97,ST,3,0,1400,GOOD,60-40,625000,4,13.56,11
352,10/19/97,ST,4,0,1400,GOOD,40-10,485000,5,13.95,4
353,10/19/97,ST,5,1,1650,GOOD,110-85,1750000,1,28.09,8
363,10/22/97,HV,5,0,1200,GOOD,60-40,625000,4,24.36,1
364,10/22/97,HV,6,0,1650,GOOD,80-60,850000,3,27.81,12
365,10/22/97,HV,7,0,1800,GOOD,80-60,850000,3,13.84,7
366,10/22/97,HV,8,0,1200,GOOD,80-60,850000,3,23.98,5
373,10/26/97,ST,7,1,1200,GOOD,80-60,850000,3,23.39,2
375,10/26/97,ST,9,0,1600,GOOD,80-60,850000,3,24.8,4
376,10/26/97,ST,10,0,1400,GOOD,95-75,1150000,2,13.66,9
377,10/26/97,ST,11,0,1400,GOOD,80-60,850000,3,13.75,2
378,10/29/97,HV,1,0,1000,GOOD,40-0,485000,5,13.28,6
379,10/29/97,HV,2,0,2200,GOOD,40-0,485000,5,14.16,9
380,10/29/97,HV,3,0,1200,GOOD,60-40,625000,4,24.53,6
387,11/2/97,ST,2,1,1200,GOOD,60-40,625000,4,23.91,10
388,11/2/97,ST,3,0,1200,GOOD,80-60,850000,3,24.66,1
389,11/2/97,ST,4,0,1600,GOOD,100-80,1150000,2,25.58,1
390,11/2/97,ST,5,0,2000,GOOD,60-40,625000,4,26.34,13
391,11/2/97,ST,6,1,1650,GOOD,60-40,625000,4,28.11,14
392,11/2/97,ST,7,0,1400,GOOD,65-40,625000,4,13.59,2
403,11/5/97,HV,7,0,1200,GOOD,85-60,850000,3,24.64,1
404,11/5/97,HV,8,0,1650,GOOD,80-60,850000,3,27.98,11
415,11/12/97,HV,1,0,1200,GOOD,60-40,625000,4,24.39,4
416,11/12/97,HV,2,0,1800,GOOD,40-10,485000,5,13.74,1
417,11/12/97,HV,3,0,1650,GOOD,60-40,625000,4,27.72,9
