Season,City,Country,Year,Month,Distance,Round,Nationality,Rank_In_Group,Qualification,Time,Start_Position
2012/2013,Malmo,SWE,2013,1,500m,Preliminaries,ITA,1,Q,43.459,4
2012/2013,Malmo,SWE,2013,1,500m,Preliminaries,HUN,2,Q,42.83,2
2012/2013,Malmo,SWE,2013,1,500m,Heats,RUS,1,Q,41.461,2
2012/2013,Malmo,SWE,2013,1,500m,Heats,HUN,1,Q,42.077,1
2012/2013,Malmo,SWE,2013,1,500m,Quarterfinals,RUS,1,Q,42.314,3
2012/2013,Malmo,SWE,2013,1,500m,Quarterfinals,NED,3,ADV,42.082,2
2012/2013,Malmo,SWE,2013,1,500m,Semifinals,RUS,1,Q,41.668,1
2012/2013,Malmo,SWE,2013,1,500m,Semifinals,POL,2,Q,42.231,4
2012/2013,Debrecen,HUN,2013,3,500m,Preliminaries,ITA,2,Q,43.797,3
2012/2013,Debrecen,HUN,2013,3,500m,Preliminaries,RUS,2,Q,41.862,4
2012/2013,Debrecen,HUN,2013,3,500m,Heats,NED,1,Q,42.017,4
2012/2013,Debrecen,HUN,2013,3,500m,Heats,GBR,2,Q,42.208,1
2012/2013,Debrecen,HUN,2013,3,500m,Quarterfinals,KOR,2,Q,41.625,4
2012/2013,Debrecen,HUN,2013,3,500m,Quarterfinals,GBR,2,Q,43.747,4
2012/2013,Debrecen,HUN,2013,3,500m,Semifinals,CHN,1,Q,41.09,4
2012/2013,Debrecen,HUN,2013,3,500m,Semifinals,RUS,2,Q,41.283,3
2013/2014,Dresden,GER,2014,1,500m,Preliminaries,NED,1,Q,42.085,1
2013/2014,Dresden,GER,2014,1,500m,Preliminaries,POL,2,Q,43.131,3
2013/2014,Dresden,GER,2014,1,500m,Heats,GER,1,Q,41.991,1
2013/2014,Dresden,GER,2014,1,500m,Heats,RUS,1,Q,41.139,1
2013/2014,Dresden,GER,2014,1,500m,Heats,GER,2,Q,42.687,2
2013/2014,Dresden,GER,2014,1,500m,Quarterfinals,FRA,2,Q,41.334,2
2013/2014,Dresden,GER,2014,1,500m,Semifinals,RUS,1,Q,40.724,1
2013/2014,Dresden,GER,2014,1,500m,Semifinals,FRA,2,Q,40.763,2
2013/2014,Montreal,CAN,2014,3,500m,Preliminaries,AUS,2,Q,42.305,2
2013/2014,Montreal,CAN,2014,3,500m,Heats,CAN,1,Q,40.294,1
2013/2014,Montreal,CAN,2014,3,500m,Heats,USA,2,Q,40.629,2
2013/2014,Montreal,CAN,2014,3,500m,Quarterfinals,CHN,1,Q,40.158,2
2013/2014,Montreal,CAN,2014,3,500m,Semifinals,CHN,1,Q,40.463,1
2013/2014,Montreal,CAN,2014,3,500m,Semifinals,CAN,2,Q,40.495,2
